ID #HeavyAtom
06081315102D 39
06101314442D 37
06131321242D 22
06161316132D 37
06171313482D 31
12161418412D 10
06191319262D 39
06201316152D 20
06251315462D 37
06251316512D 35
08171319452D 3
07191314062D 34
08011313302D 18
10081313262D 15
10091309232D 18
01231416132D 30
12291314592D 32
12311310462D 21
01041412102D 36
01281414032D 21
05261414302D 22
05261415392D 25
05271408542D 31
05271409282D 17
05271410002D 31
05281411122D 24
05281413042D 30
05281413322D 24
06091408072D 45
06091408272D 26
06091408412D 31
06091408592D 28
06091409242D 28
06091409292D 27
06091413222D 23
06091415282D 29
06101408252D 19
06101408532D 19
06101409302D 19
06101409502D 25
06101410152D 26
06101414282D 20
06101415562D 30
06101416172D 17
06111412442D 19
01051517302D 48
06161411332D 24
06161411452D 43
06161412062D 22
06161413122D 21
06171409292D 23
06171410042D 23
06171411452D 34
06191412532D 34
06201410052D 28
06201410472D 19
06231410182D 24
06231410292D 27
06231411412D 22
06231413442D 22
06231414542D 20
06241409252D 18
06241410042D 27
01261515112D 19
05101412592D 14
